Общая информация по доходам и расходам,Месяц транзакции,,,,,,
Операция,1,2,3,4,5,6,7
Доход,"р.2 673 315,00","р.2 651 640,00","р.2 851 200,00","р.2 378 445,00","р.2 517 915,00","р.2 827 205,00","р.548 775,00"
Расход,"р.1 679 200,00","р.1 630 800,00","р.1 634 600,00","р.1 622 800,00","р.974 200,00","р.1 636 800,00","р.65 500,00"
,,,,,,,
Доходы от товаров и услуг,Месяц транзакции,,,,,,
Вид,1,2,3,4,5,6,7
,"р.136 500,00",,,,,,
 Услуга,"р.2 451 375,00","р.2 562 975,00","р.2 755 300,00","р.2 297 600,00","р.2 438 575,00","р.2 735 250,00","р.531 825,00"
Товар,"р.85 440,00","р.88 665,00","р.95 900,00","р.80 845,00","р.79 340,00","р.91 955,00","р.16 950,00"
Итого,"р.2 673 315,00","р.2 651 640,00","р.2 851 200,00","р.2 378 445,00","р.2 517 915,00","р.2 827 205,00","р.548 775,00"
Детализация доходов,Месяц транзакции,,,,,,
Категория,1,2,3,4,5,6,7
Обычная стрижка,"р.629 475,00","р.675 850,00","р.718 200,00","р.595 000,00","р.588 700,00","р.697 900,00","р.124 950,00"
Продажа геля,"р.10 965,00","р.10 215,00","р.12 375,00","р.9 720,00","р.11 865,00","р.13 305,00","р.3 300,00"
Продажа шампуня,"р.29 425,00","р.28 400,00","р.30 325,00","р.26 925,00","р.23 775,00","р.28 350,00","р.6 000,00"
Продажа шампуня и кондиционера,"р.45 050,00","р.50 050,00","р.53 200,00","р.44 200,00","р.43 700,00","р.50 300,00","р.7 650,00"
Стрижка и укладка,"р.810 450,00","р.862 200,00","р.916 200,00","р.755 775,00","р.849 150,00","р.915 075,00","р.187 425,00"
Стрижка старшего мастера,"р.1 011 450,00","р.1 024 925,00","р.1 120 900,00","р.946 825,00","р.1 000 725,00","р.1 122 275,00","р.219 450,00"
Итого,"р.2 536 815,00","р.2 651 640,00","р.2 851 200,00","р.2 378 445,00","р.2 517 915,00","р.2 827 205,00","р.548 775,00"
,,,,,,,
Детализация расходов,Месяц транзакции,,,,,,
Категория,1,2,3,4,5,6,7
Аренда,"р.70 000,00","р.70 000,00","р.70 000,00","р.70 000,00","р.70 000,00","р.70 000,00",
Бухгалетрия и РКО,"р.15 000,00","р.15 000,00","р.15 000,00","р.15 000,00","р.15 000,00","р.15 000,00",
Закупка полотенец,"р.38 000,00","р.39 000,00","р.42 000,00","р.34 000,00","р.38 000,00","р.44 000,00","р.9 000,00"
Закупка резинок,"р.18 000,00","р.18 000,00","р.18 500,00","р.16 500,00","р.17 000,00","р.19 000,00","р.3 500,00"
Зарплата,"р.1 262 800,00","р.1 262 800,00","р.1 262 800,00","р.1 262 800,00","р.660 000,00","р.1 262 800,00",
Коммунальные услуги,"р.7 000,00","р.7 000,00","р.7 000,00","р.7 000,00","р.7 000,00","р.7 000,00",
Прочие расходы,"р.11 700,00","р.12 300,00","р.12 600,00","р.10 800,00","р.10 500,00","р.12 300,00","р.3 000,00"
Рекламный бюджет,"р.200 000,00","р.150 000,00","р.150 000,00","р.150 000,00","р.100 000,00","р.150 000,00","р.50 000,00"
Эквайринг,"р.56 700,00","р.56 700,00","р.56 700,00","р.56 700,00","р.56 700,00","р.56 700,00",
Итого,"р.1 679 200,00","р.1 630 800,00","р.1 634 600,00","р.1 622 800,00","р.974 200,00","р.1 636 800,00","р.65 500,00"
